# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     2.10586	           1	    -126.758	     27.9297	        25.5
       2.104	           1	    -122.461	     27.9297	       29.75
     2.09539	           1	    -126.758	     27.9297	       29.75
     2.08857	           1	    -122.461	     27.9297	        25.5
     2.07591	           1	    -122.461	     23.6328	        25.5
     2.07026	           1	    -126.758	     23.6328	        25.5
     2.06509	           1	    -118.164	     27.9297	       29.75
     2.04564	           1	    -118.164	     19.3359	        25.5
     2.04494	           1	    -122.461	     19.3359	        25.5
     2.03928	           1	    -118.164	     23.6328	        25.5
     2.03247	           1	    -126.758	     32.2266	        25.5
     2.03189	           1	    -122.461	     32.2266	        25.5
     2.02797	           1	    -126.758	     23.6328	       29.75
      2.0256	           1	    -131.055	     27.9297	       29.75
     2.02141	           1	    -126.758	     19.3359	        25.5
     2.02059	           1	    -113.867	     15.0391	       29.75
     2.01743	           1	    -118.164	     27.9297	        25.5
     2.01197	           1	    -126.758	     15.0391	        25.5
     2.00948	           1	    -131.055	     23.6328	       29.75
     2.00702	           1	    -122.461	     15.0391	        25.5
      2.0062	           1	    -122.461	     23.6328	       29.75
     2.00351	           1	    -113.867	     19.3359	       29.75
     2.00284	           1	    -131.055	     27.9297	        25.5
     1.99943	           1	    -131.055	     23.6328	        25.5
     1.99811	           1	    -122.461	     32.2266	       29.75
     1.99728	           1	    -118.164	     23.6328	       29.75
     1.99392	           1	    -122.461	     27.9297	       21.25
     1.99079	           1	    -118.164	     32.2266	       29.75
     1.98942	           1	    -118.164	     27.9297	       21.25
     1.98806	           1	    -131.055	     15.0391	        25.5
     1.98793	           1	    -131.055	     10.7422	        25.5
     1.98504	           1	    -118.164	     15.0391	        25.5
     1.98356	           1	    -126.758	     10.7422	        25.5
     1.98124	           1	    -113.867	     36.5234	        4.25
     1.97986	           1	    -122.461	     23.6328	       21.25
     1.97842	           1	    -113.867	     19.3359	        25.5
     1.97193	           1	    -131.055	     19.3359	        25.5
      1.9714	           1	    -113.867	     27.9297	       29.75
     1.96968	           1	    -118.164	     32.2266	        25.5
     1.96602	           1	    -135.352	     10.7422	        25.5
     1.96331	           1	    -118.164	     23.6328	       21.25
     1.96254	           1	    -113.867	     23.6328	       29.75
     1.95652	           1	    -131.055	     27.9297	          34
     1.95193	           1	    -122.461	     19.3359	       21.25
     1.95168	           1	    -139.648	     10.7422	        25.5
     1.95151	           1	    -126.758	     23.6328	       21.25
     1.95078	           1	    -113.867	     27.9297	       21.25
     1.94976	           1	    -113.867	     23.6328	        25.5
     1.94867	           1	    -118.164	     19.3359	       29.75
     1.94311	           1	    -118.164	     32.2266	       21.25
     1.94055	           1	    -118.164	     19.3359	       21.25
     1.93727	           1	    -126.758	     19.3359	       21.25
     1.93599	           1	    -126.758	     27.9297	       21.25
     1.93452	           1	    -135.352	     15.0391	        25.5
     1.93448	           1	    -118.164	     15.0391	       29.75
     1.93337	           1	    -113.867	     32.2266	       21.25
     1.92797	           1	    -126.758	     27.9297	          34
     1.92389	           1	    -126.758	     32.2266	       29.75
     1.92347	           1	    -113.867	     15.0391	        25.5
     1.92283	           1	    -122.461	     10.7422	        25.5
     1.92175	           1	    -122.461	     15.0391	       21.25
     1.92116	           1	    -113.867	     27.9297	        25.5
     1.92087	           1	     -109.57	     15.0391	       29.75
     1.92075	           1	    -126.758	     23.6328	          34
     1.91968	           1	    -113.867	     36.5234	         8.5
     1.91955	           1	    -122.461	     23.6328	          34
      1.9189	           1	    -118.164	     23.6328	          34
     1.91694	           1	    -113.867	     23.6328	       21.25
      1.9166	           1	    -118.164	     36.5234	        4.25
