# amide: ROI Analysis File - generated on Fri Aug 20 14:32:50 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     12.4279	           1	     122.461	     32.2266	        42.5
      12.211	           1	     126.758	     32.2266	        42.5
      12.058	           1	     139.648	     23.6328	       46.75
     11.9568	           1	     135.352	     23.6328	       46.75
     11.5106	           1	     148.242	     2.14844	      -29.75
     11.3868	           1	     131.055	     27.9297	       46.75
     11.3776	           1	     139.648	     19.3359	       46.75
     11.2973	           1	     118.164	     32.2266	        42.5
     11.2529	           1	     131.055	     32.2266	        42.5
     11.2308	           1	     135.352	     27.9297	       46.75
     11.0413	           1	     139.648	    -2.14844	      -29.75
     11.0164	           1	     143.945	     2.14844	      -29.75
     10.9943	           1	     148.242	     6.44531	      -29.75
     10.9736	           1	     126.758	     27.9297	       46.75
     10.8876	           1	     126.758	     27.9297	        42.5
      10.819	           1	     143.945	    -2.14844	      -29.75
     10.7758	           1	     122.461	     36.5234	        42.5
     10.7262	           1	     152.539	     6.44531	      -29.75
     10.7147	           1	     131.055	     27.9297	        42.5
     10.6869	           1	     131.055	     23.6328	       46.75
     10.6828	           1	     126.758	     32.2266	       38.25
     10.6674	           1	     143.945	     23.6328	       46.75
     10.6608	           1	     122.461	     27.9297	        42.5
     10.6398	           1	     131.055	     32.2266	       38.25
     10.6166	           1	     135.352	    -2.14844	      -29.75
     10.6077	           1	     135.352	     27.9297	        42.5
      10.588	           1	     126.758	     36.5234	        42.5
     10.5537	           1	     126.758	     32.2266	       46.75
     10.5504	           1	     122.461	     32.2266	       38.25
     10.5489	           1	     143.945	     19.3359	       46.75
     10.5158	           1	     148.242	     10.7422	         -34
     10.4725	           1	     148.242	     6.44531	         -34
      10.454	           1	     152.539	     2.14844	      -29.75
     10.4412	           1	     139.648	     27.9297	        42.5
     10.4218	           1	     139.648	    -6.44531	       -25.5
     10.4105	           1	     139.648	     27.9297	       46.75
     10.3976	           1	     135.352	     19.3359	       46.75
     10.3417	           1	     122.461	     32.2266	       46.75
     10.3312	           1	     135.352	    -6.44531	       -25.5
     10.3157	           1	     135.352	     32.2266	        42.5
     10.2927	           1	     139.648	     2.14844	      -29.75
     10.2876	           1	     118.164	     32.2266	       38.25
     10.2868	           1	     148.242	    -2.14844	      -29.75
     10.2867	           1	     139.648	    -2.14844	       -25.5
     10.2316	           1	     135.352	    -2.14844	       -25.5
     10.1945	           1	     131.055	     32.2266	          34
     10.1928	           1	     126.758	     36.5234	       38.25
     10.1889	           1	     126.758	     32.2266	          34
     10.1585	           1	     135.352	    -6.44531	      -29.75
     10.1318	           1	     135.352	     32.2266	       38.25
      10.115	           1	     143.945	     23.6328	        42.5
     10.1124	           1	     139.648	     23.6328	        42.5
     10.0851	           1	     139.648	    -6.44531	      -29.75
     10.0146	           1	     122.461	     32.2266	          34
     10.0068	           1	     143.945	     6.44531	         -34
     10.0038	           1	     139.648	    -6.44531	      -21.25
     9.99754	           1	     135.352	     36.5234	       12.75
     9.98607	           1	     131.055	     36.5234	       38.25
     9.97763	           1	     152.539	     10.7422	      -29.75
     9.96916	           1	     131.055	     36.5234	       29.75
     9.95707	           1	     135.352	     32.2266	          34
     9.93529	           1	     126.758	     36.5234	          34
     9.90947	           1	     131.055	     36.5234	          34
     9.89507	           1	     148.242	     10.7422	      -29.75
     9.88345	           1	     139.648	     36.5234	       21.25
     9.87742	           1	     143.945	     36.5234	       21.25
     9.87522	           1	     122.461	     36.5234	       38.25
      9.8601	           1	     143.945	    -2.14844	      -12.75
     9.84412	           1	     143.945	     10.7422	         -34
     9.83903	           1	     122.461	     27.9297	       46.75
     9.80723	           1	     139.648	    -2.14844	      -21.25
     9.80593	           1	     135.352	     36.5234	      -12.75
     9.76779	           1	     131.055	     36.5234	       12.75
     9.75436	           1	     135.352	     36.5234	       29.75
     9.74364	           1	     139.648	    -2.14844	      -12.75
     9.73416	           1	     131.055	     32.2266	       46.75
     9.72633	           1	     143.945	    -6.44531	      -21.25
     9.72394	           1	     126.758	     36.5234	       29.75
     9.71961	           1	     143.945	    -2.14844	      -21.25
     9.70451	           1	     148.242	     15.0391	         -34
     9.69492	           1	     135.352	     27.9297	       38.25
     9.68992	           1	     135.352	     2.14844	      -29.75
     9.68677	           1	     113.867	     32.2266	       38.25
     9.67601	           1	     139.648	     27.9297	       38.25
     9.65687	           1	     143.945	     27.9297	        42.5
     9.64999	           1	     118.164	     32.2266	          34
     9.62417	           1	     148.242	    -2.14844	      -12.75
     9.61439	           1	     131.055	     27.9297	       38.25
     9.59493	           1	     122.461	     36.5234	          34
     9.58102	           1	     118.164	     27.9297	        42.5
     9.58034	           1	     139.648	     36.5234	          17
      9.5795	           1	     135.352	     23.6328	        42.5
      9.5694	           1	     143.945	     23.6328	       38.25
     9.55929	           1	     143.945	     27.9297	       38.25
     9.55143	           1	     135.352	     2.14844	         -34
     9.54835	           1	     143.945	     6.44531	      -29.75
      9.5393	           1	     118.164	     36.5234	        42.5
     9.51791	           1	     143.945	    -2.14844	       -25.5
     9.47624	           1	     139.648	    -10.7422	       -25.5
     9.46594	           1	     131.055	     32.2266	       29.75
     9.44617	           1	     131.055	     2.14844	         -34
     9.43843	           1	     139.648	     32.2266	          34
     9.42324	           1	     139.648	     32.2266	        42.5
     9.41899	           1	     135.352	    -10.7422	       -25.5
     9.41261	           1	     143.945	     32.2266	       21.25
     9.41248	           1	     148.242	    -2.14844	      -21.25
     9.40488	           1	     135.352	     36.5234	         8.5
     9.40238	           1	     131.055	     36.5234	        42.5
     9.40105	           1	     139.648	     36.5234	       12.75
     9.39888	           1	     118.164	     36.5234	       38.25
     9.39706	           1	     143.945	     15.0391	         -34
     9.39627	           1	     126.758	     32.2266	       29.75
     9.37704	           1	     126.758	     27.9297	       38.25
     9.36555	           1	     135.352	     36.5234	       21.25
     9.35567	           1	     135.352	     36.5234	          34
     9.34283	           1	     143.945	     2.14844	         -34
     9.33157	           1	     135.352	    -2.14844	      -21.25
     9.31686	           1	     135.352	     32.2266	       29.75
     9.31515	           1	     143.945	     36.5234	          17
      9.3082	           1	     143.945	    -6.44531	      -12.75
     9.30023	           1	     152.539	     23.6328	       -4.25
     9.28181	           1	     135.352	    -6.44531	      -21.25
      9.2796	           1	     148.242	     2.14844	         -34
     9.27159	           1	     135.352	     36.5234	          17
     9.26882	           1	     135.352	     36.5234	        4.25
     9.26456	           1	     148.242	     23.6328	       38.25
     9.25682	           1	     131.055	     6.44531	         -34
      9.2567	           1	     139.648	     36.5234	        25.5
     9.22829	           1	     143.945	     19.3359	        42.5
     9.22674	           1	     139.648	     32.2266	       38.25
     9.22561	           1	     143.945	    -6.44531	       -25.5
     9.20591	           1	     113.867	     32.2266	        42.5
